dia	mes	agno	personaje	texto
6	2	2021	37	6 de febreiro de 2014. A NASA publicou a primeira imaxe tomada polo Rover Curiosity: a imaxe da Terra e a Lúa no ceo de Marte.
7	2	2021	38	7 de febreiro de 1824. Naceu William Huggins. Revolucionou a astronomía ao aplicar métodos para determinar a composición química das estrelas.
8	2	2021	39	8 de febreiro de 1825. Naceu Henry Bates. Descubriu que, para se protexer dos depredadores, algunhas bolboretas inofensivas se asemellan moito a outras especies que son tóxicas (mimetismo batesiano).
9	2	2021	40	9 de febreiro de 1859. Naceu o construtor de órganos Robert Hope-Jones. Desenvolveu un órgano de teatro para acompañar as películas mudas. Baseándose no seu mecanismo, patentou o diáfono, que é a potente sirena que se sitúa onda os faros e pode guiar os barcos na néboa.
10	2	2021	41	10 de febreiro de 1996. En Estados Unidos, a supercomputadora IBM Deep Blue derrotou por vez primeira a Garry Kasparov, campión mundial de xadrez.
11	2	2021	42	11 de febreiro de 1939. Lise Meitner publicou o primeiro descubrimento de fisión nuclear de uranio cando absorbe un neutrón adicional.
12	2	2021	43	12 de febreiro de 1809. Naceu Charles Darwin, o famoso naturalista que elaborou a teoría da evolución mediante selección natural.
13	2	2021	44	13 de febreiro de 1946. Naceu a matemática Pilar Bayer. En 1986 fundou o Seminario de Teoría de Números de Barcelona, no cal se enmarca a súa actividade investigadora.
14	2	2021	45	14 de febreiro de 2005. Un equipo de investigadores do CSIC obtivo e secuenciou ADN dun individuo neandertal procedente do xacemento de El Sidrón.
15	2	2021	46	15 de febreiro de 2001. Publicouse en Nature (e ao día seguinte en Science) a secuenciación e análise inicial do xenoma humano.
16	2	2021	47	16 de febreiro de 2005. Entrou en vigor o Protocolo de Quioto, convenio mundial para reducir as emisións de gases de efecto invernadoiro.
17	2	2021	48	17 de febreiro de 1874. Naceu a xeóloga Ida Helen Ogilvie. Descubriu propiedades da lava e os efectos da aridez sobre a erosión dos solos.
18	2	2021	49	18 de febreiro de 1913. O químico e Premio Nobel Frederick Soddy introduciu o termo isótopo.
19	2	2021	50	19 de febreiro de 1878. Thomas A. Edison patentou o fonógrafo.
20	2	2021	51	20 de febreiro de 2016. Investigadores do IGME descubriron a primeira barbantesa (Mantis religiosa) fósil e unha das máis antigas que se coñecen no mundo. Achouse no xacemento de ámbar de San Just, en Utrillas (Teruel), que ten unha idade duns 105 millóns de anos (período Cretácico).
21	2	2021	52	21 de febreiro de 1947. O inventor Edwin Herbert Land mostrou por primeira vez en público unha cámara instantánea de fotos, a Polaroid Land Camera.
22	2	2021	53	22 de febreiro de 1876. Fundouse a Universidade Johns Hopkins. Foi a primeira universidade dedicada especificamente á investigación médica nos Estados Unidos. A súa fundación foi posible grazas á herdanza do empresario Johns Hopkins.
23	2	2021	54	23 de febreiro de 1879. Naceu Agnes Arber, botánica especializada no estudo de plantas monocotiledóneas.
24	2	2021	55	24 de febreiro de 1938. A empresa DuPont comezou a fabricación do primeiro produto de nailon destinado á venda: un cepillo de dentes. Ata daquela fabricábanse principalmente con pelo do pescozo dos porcos.
25	2	2021	56	25 de febreiro de 1869. Naceu o químico Phoebus Levene. Descubriu a desoxirribosa, un dos compoñentes principais do ADN.
26	2	2021	57	26 de febreiro de 1958. Naceu Susan Helms, muller astronauta que bateu o récord do paseo espacial máis longo (case 9 horas).
27	2	2021	58	27 de febreiro de 1869. Naceu a patóloga Alice Hamilton. Investigou sobre doenzas industriais e axudou a conseguir condicións de traballo máis seguras.
